product_id,name,category,brand,price,avg_rating,popularity,tags
P0000,TechNova Electronics #0,Electronics,TechNova,409.49,3.1,0.08700176852285588,wireless|bluetooth
P0001,EcoGrain Grocery #1,Grocery,EcoGrain,26.17,4.1,0.05297033227716428,vegan|natural
P0002,KidoCraft Toys #2,Toys,KidoCraft,53.48,4.4,0.2685708891309735,non-toxic|educational|battery-operated|colorful
P0003,LushAura Beauty #3,Beauty,LushAura,29.16,4.2,0.16607194658007354,anti-aging|organic|vegan|hydrating
P0004,PureSkin Beauty #4,Beauty,PureSkin,27.55,4.4,0.05765110149147594,paraben-free|hydrating|anti-aging|organic
P0005,DriveDyn Automotive #5,Automotive,DriveDyn,101.58,3.2,0.04763074359038793,easy-install|universal
P0006,VoltCore Electronics #6,Electronics,VoltCore,248.01,4.2,0.09428365439662405,smart|wireless
P0007,PlayPioneer Toys #7,Toys,PlayPioneer,26.13,3.8,0.037742172487647586,eco-friendly|non-toxic
P0008,KitchenKraft Home & Kitchen #8,Home & Kitchen,KitchenKraft,111.59,3.7,0.00682109346173999,durable|compact
P0009,TechNova Electronics #9,Electronics,TechNova,344.11,4.5,0.05794178429172288,fast-charging|bluetooth|portable|wireless
P0010,FlexFit Sports #10,Sports,FlexFit,84.08,4.9,0.03798494258797415,grip|waterproof
P0011,TuneTech Music #11,Music,TuneTech,104.0,5.0,0.1717177336125271,noise-cancelling|portable|bluetooth|bass-boost
P0012,HarvestHue Grocery #12,Grocery,HarvestHue,31.37,4.8,0.1389463845297416,organic|gluten-free
P0013,HarvestHue Grocery #13,Grocery,HarvestHue,21.42,3.9,0.033899282918444386,gluten-free|natural|low-sugar
P0014,HarvestHue Grocery #14,Grocery,HarvestHue,39.91,4.2,0.261728604616751,vegan|natural|gluten-free|organic
P0015,FreshCart Grocery #15,Grocery,FreshCart,10.01,4.5,0.10855482439340985,gluten-free|low-sugar|vegan
P0016,FlexFit Sports #16,Sports,FlexFit,59.19,4.1,0.3956917165424941,grip|lightweight|durable
P0017,VogueLine Fashion #17,Fashion,VogueLine,18.48,4.1,0.19540274698947857,premium|trendy|slim-fit
P0018,DriveDyn Automotive #18,Automotive,DriveDyn,71.03,4.5,0.30501051052735256,rust-proof|easy-install|weatherproof
P0019,Beautea Beauty #19,Beauty,Beautea,59.33,4.0,0.41739983564425204,vegan|paraben-free
P0020,ProStride Sports #20,Sports,ProStride,109.52,3.6,0.067751375530061,durable|grip
P0021,PagePress Books #21,Books,PagePress,13.96,3.8,0.14456226330765096,hardcover|self-help|fiction|bestseller
P0022,VogueLine Fashion #22,Fashion,VogueLine,23.59,4.4,0.022742345821979013,slim-fit|casual|cotton|premium
P0023,AudioArc Music #23,Music,AudioArc,27.25,4.0,0.036546345247514794,portable|wireless
P0024,PureBite Grocery #24,Grocery,PureBite,19.05,4.2,0.030034078781704974,vegan|low-sugar|natural
P0025,ToyTinker Toys #25,Toys,ToyTinker,134.17,4.4,0.08114693094957412,eco-friendly|battery-operated|educational
P0026,LushAura Beauty #26,Beauty,LushAura,37.29,3.8,0.16367747767527172,paraben-free|vegan|anti-aging|organic
P0027,AutoArc Automotive #27,Automotive,AutoArc,113.39,4.5,0.11082841027077378,weatherproof|heavy-duty|rust-proof
P0028,FlexFit Sports #28,Sports,FlexFit,88.33,4.2,0.003755962392925216,grip|waterproof|breathable|lightweight
P0029,LushAura Beauty #29,Beauty,LushAura,13.75,3.3,0.031841926924363405,anti-aging|organic
P0030,Beautea Beauty #30,Beauty,Beautea,25.86,4.9,0.16408911404932294,anti-aging|vegan|hydrating
P0031,HomeHue Home & Kitchen #31,Home & Kitchen,HomeHue,84.08,3.7,0.13337191646117805,compact|durable
P0032,TechNova Electronics #32,Electronics,TechNova,191.57,3.0,0.04190470941066613,wireless|smart
P0033,ProStride Sports #33,Sports,ProStride,103.95,3.4,0.04797954586201104,waterproof|breathable|durable
P0034,MotoMate Automotive #34,Automotive,MotoMate,178.21,3.4,0.19823597532975745,universal|easy-install|weatherproof|heavy-duty
P0035,TechNova Electronics #35,Electronics,TechNova,279.35,4.0,0.09625631694046541,fast-charging|wireless|smart|portable
P0036,DriveDyn Automotive #36,Automotive,DriveDyn,106.32,3.8,0.11937242475538182,universal|weatherproof|easy-install|heavy-duty
P0037,AutoArc Automotive #37,Automotive,AutoArc,234.99,3.8,0.07478441674175296,universal|easy-install|heavy-duty|weatherproof
P0038,CozyNest Home & Kitchen #38,Home & Kitchen,CozyNest,180.64,4.4,0.17903471570868265,durable|compact
P0039,PlayPioneer Toys #39,Toys,PlayPioneer,24.63,4.2,0.29282224026517956,battery-operated|non-toxic|educational|colorful
P0040,UrbanWeave Fashion #40,Fashion,UrbanWeave,32.08,4.2,0.440446867340894,slim-fit|premium|casual|cotton
P0041,FreshCart Grocery #41,Grocery,FreshCart,48.75,4.2,0.1475360006250188,natural|organic|gluten-free
P0042,FreshCart Grocery #42,Grocery,FreshCart,22.72,4.4,0.06786306698159303,organic|natural
P0043,PagePress Books #43,Books,PagePress,40.35,2.7,0.02077604525963539,hardcover|educational|fiction|self-help
P0044,PixelPro Electronics #44,Electronics,PixelPro,160.3,3.8,0.0047875121894815935,portable|smart
P0045,SoundScape Music #45,Music,SoundScape,248.39,2.7,0.405991064139538,wireless|noise-cancelling|bluetooth
P0046,PureSkin Beauty #46,Beauty,PureSkin,32.04,4.0,0.1773905979321135,vegan|anti-aging|paraben-free
P0047,MotoMate Automotive #47,Automotive,MotoMate,170.67,4.0,0.06519010690463888,heavy-duty|universal|easy-install|rust-proof
P0048,FunForge Toys #48,Toys,FunForge,87.46,4.6,0.1255693790494636,educational|eco-friendly|colorful
P0049,EcoGrain Grocery #49,Grocery,EcoGrain,20.86,4.7,0.24804892034960357,vegan|natural|organic
P0050,HarvestHue Grocery #50,Grocery,HarvestHue,15.62,4.1,0.5102840388753059,gluten-free|organic
P0051,Threadly Fashion #51,Fashion,Threadly,39.95,3.7,0.02905742673267808,slim-fit|premium|cotton|casual
P0052,Inkwell Books #52,Books,Inkwell,25.08,4.3,0.11912047202163067,bestseller|educational|hardcover
P0053,PureSkin Beauty #53,Beauty,PureSkin,13.71,3.7,0.20900651758402486,anti-aging|hydrating|vegan
P0054,LushAura Beauty #54,Beauty,LushAura,41.26,4.0,0.6104794171992333,anti-aging|vegan|organic
P0055,VoltCore Electronics #55,Electronics,VoltCore,152.77,4.6,0.18655708128752785,smart|wireless
P0056,IronWill Sports #56,Sports,IronWill,124.26,3.7,0.1282376693897425,durable|breathable
P0057,ClassyCot Fashion #57,Fashion,ClassyCot,15.1,4.5,0.1514599291719178,trendy|slim-fit|cotton
P0058,HarvestHue Grocery #58,Grocery,HarvestHue,16.87,4.4,0.04639478331662076,low-sugar|natural|gluten-free|vegan
P0059,KidoCraft Toys #59,Toys,KidoCraft,17.21,3.4,0.1507615584063469,colorful|eco-friendly|educational|non-toxic
P0060,TuneTech Music #60,Music,TuneTech,79.39,4.6,0.2603652070102821,noise-cancelling|bluetooth|portable
P0061,FreshCart Grocery #61,Grocery,FreshCart,28.3,4.4,0.040569837214576056,vegan|gluten-free|low-sugar|organic
P0062,LitHouse Books #62,Books,LitHouse,18.29,4.1,0.353522541340591,self-help|fiction|hardcover|bestseller
P0063,SoundScape Music #63,Music,SoundScape,105.72,3.5,0.01446317493920866,wireless|portable
P0064,LushAura Beauty #64,Beauty,LushAura,27.7,3.5,0.06402874913466945,vegan|hydrating|organic
P0065,PagePress Books #65,Books,PagePress,22.14,3.7,0.0238006780067659,self-help|educational|fiction|hardcover
P0066,SoundScape Music #66,Music,SoundScape,72.47,4.3,0.01124157546057546,bluetooth|wireless|bass-boost|portable
P0067,PagePress Books #67,Books,PagePress,28.48,3.4,0.48288530909692123,educational|hardcover|self-help
P0068,VoltCore Electronics #68,Electronics,VoltCore,278.56,4.3,0.04169845989873609,fast-charging|wireless
P0069,Beautea Beauty #69,Beauty,Beautea,36.37,3.3,0.09465519713224596,vegan|paraben-free
P0070,HarvestHue Grocery #70,Grocery,HarvestHue,33.02,3.9,0.12906566170485095,gluten-free|natural
P0071,Threadly Fashion #71,Fashion,Threadly,57.99,4.1,0.01847369918316788,premium|cotton|slim-fit|trendy
P0072,PureSkin Beauty #72,Beauty,PureSkin,82.99,5.0,0.045247573708510395,paraben-free|organic
P0073,VogueLine Fashion #73,Fashion,VogueLine,47.87,3.2,0.04278343777151564,slim-fit|trendy|cotton|casual
P0074,PlayPioneer Toys #74,Toys,PlayPioneer,34.31,4.9,0.048947738687557966,battery-operated|colorful|educational
P0075,PureSkin Beauty #75,Beauty,PureSkin,20.58,4.1,0.08657221050228234,vegan|organic|anti-aging
P0076,Inkwell Books #76,Books,Inkwell,11.94,4.2,0.05326105306182565,self-help|bestseller
P0077,CozyNest Home & Kitchen #77,Home & Kitchen,CozyNest,42.94,4.1,0.22132801645707104,eco-friendly|rust-free|non-stick|compact
P0078,FlexFit Sports #78,Sports,FlexFit,44.88,4.3,0.09472799863784706,grip|waterproof|durable
P0079,PlayPioneer Toys #79,Toys,PlayPioneer,38.61,3.9,0.06867509419281753,battery-operated|educational
P0080,SoundScape Music #80,Music,SoundScape,141.83,4.9,0.03406848355816741,bass-boost|bluetooth
P0081,LushAura Beauty #81,Beauty,LushAura,30.78,3.7,0.18860025366636957,organic|vegan|anti-aging
P0082,VogueLine Fashion #82,Fashion,VogueLine,34.1,4.7,0.06389997932720216,premium|trendy|cotton|slim-fit
P0083,AutoArc Automotive #83,Automotive,AutoArc,235.27,3.6,0.06451909853933899,universal|rust-proof|weatherproof|heavy-duty
P0084,ToyTinker Toys #84,Toys,ToyTinker,57.89,4.0,0.43719886911024014,educational|colorful
P0085,HarvestHue Grocery #85,Grocery,HarvestHue,23.08,3.4,0.007768839373771712,natural|gluten-free
P0086,VoltCore Electronics #86,Electronics,VoltCore,144.29,4.3,0.06894335244081709,portable|bluetooth|fast-charging|wireless
P0087,PagePress Books #87,Books,PagePress,26.31,4.9,0.12131057839903447,self-help|fiction|hardcover|educational
P0088,HarvestHue Grocery #88,Grocery,HarvestHue,27.46,4.0,0.18130229422434427,vegan|gluten-free
P0089,CarCore Automotive #89,Automotive,CarCore,72.72,3.9,0.17374351063813284,weatherproof|universal
P0090,LushAura Beauty #90,Beauty,LushAura,29.0,3.3,0.04265325878219547,vegan|paraben-free|hydrating
P0091,CarCore Automotive #91,Automotive,CarCore,171.0,3.9,0.0009731208536071688,heavy-duty|easy-install|universal
P0092,AutoArc Automotive #92,Automotive,AutoArc,95.66,3.0,0.14516319339131353,universal|heavy-duty
P0093,Inkwell Books #93,Books,Inkwell,21.99,3.5,0.11701912043933266,educational|hardcover
P0094,DriveDyn Automotive #94,Automotive,DriveDyn,72.47,4.1,0.01210970292513003,rust-proof|universal
P0095,PurePan Home & Kitchen #95,Home & Kitchen,PurePan,156.04,4.8,0.0928592257467568,compact|non-stick|durable
P0096,CozyNest Home & Kitchen #96,Home & Kitchen,CozyNest,149.31,5.0,0.026980598204341778,compact|eco-friendly
P0097,KidoCraft Toys #97,Toys,KidoCraft,35.26,3.6,0.015933972513435157,non-toxic|colorful
P0098,FunForge Toys #98,Toys,FunForge,47.97,4.9,0.11204062126462017,colorful|eco-friendly
P0099,UrbanWeave Fashion #99,Fashion,UrbanWeave,14.99,4.1,0.14723309220672104,premium|casual
P0100,MotoMate Automotive #100,Automotive,MotoMate,84.14,3.9,0.12710960243939728,heavy-duty|universal|weatherproof|rust-proof
P0101,ClassyCot Fashion #101,Fashion,ClassyCot,43.17,4.3,0.048343568991998036,casual|cotton|trendy|slim-fit
P0102,MotoMate Automotive #102,Automotive,MotoMate,87.76,4.0,0.12157069755620835,easy-install|heavy-duty|weatherproof
P0103,TechNova Electronics #103,Electronics,TechNova,285.86,4.1,0.08018018759312695,portable|bluetooth|wireless|smart
P0104,HarvestHue Grocery #104,Grocery,HarvestHue,67.87,3.8,0.09448312784440162,organic|vegan
P0105,EcoGrain Grocery #105,Grocery,EcoGrain,13.88,3.2,0.16719465365359087,organic|vegan|natural|gluten-free
P0106,PureBite Grocery #106,Grocery,PureBite,16.45,3.1,0.11875864306094669,low-sugar|gluten-free|natural
P0107,FunForge Toys #107,Toys,FunForge,45.0,4.4,0.1307842808415381,battery-operated|colorful|eco-friendly|educational
P0108,LushAura Beauty #108,Beauty,LushAura,67.14,3.8,0.2156276576992463,paraben-free|vegan|organic|anti-aging
P0109,HarvestHue Grocery #109,Grocery,HarvestHue,13.57,3.6,0.06063583326361384,gluten-free|organic
P0110,PurePan Home & Kitchen #110,Home & Kitchen,PurePan,90.61,4.0,0.09740956648279617,non-stick|rust-free
P0111,PureBite Grocery #111,Grocery,PureBite,62.15,4.5,0.13604626978837675,organic|gluten-free|vegan|low-sugar
P0112,FlexFit Sports #112,Sports,FlexFit,30.65,4.1,0.23372826541479763,durable|breathable
P0113,PureSkin Beauty #113,Beauty,PureSkin,15.81,3.6,0.03883307351234867,anti-aging|vegan|organic|paraben-free
P0114,IronWill Sports #114,Sports,IronWill,56.64,4.7,0.19276969518000156,waterproof|durable|lightweight|breathable
P0115,IronWill Sports #115,Sports,IronWill,53.96,4.9,0.042366722487449535,grip|durable|lightweight|breathable
P0116,TechNova Electronics #116,Electronics,TechNova,300.25,4.3,0.052167266894181615,wireless|smart
P0117,Threadly Fashion #117,Fashion,Threadly,56.42,4.6,0.07223759638223023,slim-fit|trendy
P0118,HomeHue Home & Kitchen #118,Home & Kitchen,HomeHue,32.94,4.7,0.015249972668769695,non-stick|durable|rust-free
P0119,VogueLine Fashion #119,Fashion,VogueLine,64.7,4.7,0.2833781818552274,slim-fit|casual|trendy
P0120,PureSkin Beauty #120,Beauty,PureSkin,22.48,4.4,0.2591762499167332,paraben-free|organic
P0121,ToyTinker Toys #121,Toys,ToyTinker,75.65,4.4,0.4032785315431183,educational|battery-operated|non-toxic|eco-friendly
P0122,PlayPioneer Toys #122,Toys,PlayPioneer,29.23,4.3,0.11829671491257453,non-toxic|eco-friendly|battery-operated
P0123,PureSkin Beauty #123,Beauty,PureSkin,21.82,3.3,0.14912776392287955,vegan|anti-aging|paraben-free
P0124,MotoMate Automotive #124,Automotive,MotoMate,196.61,4.4,0.046340132750373596,easy-install|weatherproof|rust-proof
P0125,FitForge Sports #125,Sports,FitForge,102.51,3.2,0.003771505694794413,durable|grip|waterproof
P0126,ElectroMax Electronics #126,Electronics,ElectroMax,250.23,3.5,0.1745173864335811,wireless|smart|portable
P0127,PureBite Grocery #127,Grocery,PureBite,10.76,4.8,0.028871631352097988,organic|gluten-free|vegan
P0128,IronWill Sports #128,Sports,IronWill,91.61,4.5,0.037901805081531036,lightweight|waterproof
